Gal,logP,mW,sig_mW,Fe/H,z,V-I
N3447,1.3439990690571613,25.079099999999997,0.31,-0.27699999999999925,0.0035600000000000002,0.65
N3447,1.3494717992143856,24.480140000000002,0.22,-0.11399999999999899,0.0035600000000000002,1.01
N3447,1.3519894554356322,25.09226,0.26,-0.11500000000000021,0.0035600000000000002,0.59
N3447,1.352761191723831,24.05416,0.47,-0.0730000000000004,0.0035600000000000002,1.44
N3447,1.3585059114902351,24.774359999999998,0.22,-0.12100000000000044,0.0035600000000000002,0.74
N3447,1.3613500243522665,24.8019,0.25,0.08399999999999963,0.0035600000000000002,0.85
N3447,1.3637999454791092,24.70522,0.21,-0.10800000000000054,0.0035600000000000002,1.23
N3447,1.3645509953539718,24.46628,0.31,-0.0779999999999994,0.0035600000000000002,1.02
N3447,1.383456296524753,25.2547,0.28,-0.08900000000000041,0.0035600000000000002,1.05
N3447,1.3836358683618797,25.53384,0.39,-0.08900000000000041,0.0035600000000000002,0.56
N3447,1.3838153659804313,25.17908,0.33,-0.07199999999999918,0.0035600000000000002,1.22
N3447,1.3864989655506532,25.21172,0.31,-0.09500000000000064,0.0035600000000000002,0.98
N3447,1.3881012015705168,24.8082,0.31,-0.2629999999999999,0.0035600000000000002,1.3
N3447,1.388988785124714,25.0161,0.39,-0.10699999999999932,0.0035600000000000002,1.15
N3447,1.3941013020400446,24.631539999999998,0.19,-0.2579999999999991,0.0035600000000000002,1.11
N3447,1.404833716619938,23.938380000000002,0.58,-0.25200000000000067,0.0035600000000000002,1.17
N3447,1.4068806700491248,24.1926,0.66,-0.04499999999999993,0.0035600000000000002,0.9
N3447,1.4107772333772097,24.87138,0.26,-0.08099999999999952,0.0035600000000000002,0.67
N3447,1.421603926869831,24.45926,0.25,0.07600000000000051,0.0035600000000000002,1.09
N3447,1.4331295175804855,25.17172,0.32,-0.17099999999999937,0.0035600000000000002,0.98
N3447,1.436480695009495,24.665940000000003,0.58,-0.038000000000000256,0.0035600000000000002,0.71
N3447,1.4372747974101237,24.34506,0.41,-0.18299999999999983,0.0035600000000000002,0.79
N3447,1.442793225939769,25.10382,0.39,-0.06799999999999962,0.0035600000000000002,1.13
N3447,1.4451369687133042,24.62188,0.63,-0.12199999999999989,0.0035600000000000002,1.42
N3447,1.4586378490256493,24.787679999999998,0.14,0.07200000000000095,0.0035600000000000002,1.12
N3447,1.4652340949880143,24.68734,0.22,-0.30299999999999905,0.0035600000000000002,0.81
N3447,1.4670158184384354,25.29944,0.35,-0.054999999999999716,0.0035600000000000002,0.96
N3447,1.4723175463168419,24.343120000000003,0.23,-0.17300000000000004,0.0035600000000000002,1.08
N3447,1.476976465759527,24.1619,0.22,-0.032999999999999474,0.0035600000000000002,0.85
